Timestamp,Protocol,Sender IP,Sender MAC,Target IP,Target MAC,Opcode
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.159,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.172.141,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.161,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.28.78.1,00:07:0d:af:f4:54,65.28.78.76,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.163,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.175.123,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.165,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.175.82,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.220.131,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.168,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.221.27,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.184,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.169,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.181,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.216,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.172,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.217,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.217.186,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.221,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.218.94,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.207,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.222,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.223,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.176,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.220.86,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.224,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.28.78.1,00:07:0d:af:f4:54,65.28.78.114,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.26.92.1,00:07:0d:af:f4:54,65.26.92.195,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.230,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.172.6,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.216.28,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.177,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.231,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.181,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.172.232,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.232,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.208,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.234,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.235,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.183,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.236,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.26.92.1,00:07:0d:af:f4:54,65.26.94.73,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.192,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.172.97,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.185,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.186,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.188,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.28.78.1,00:07:0d:af:f4:54,65.28.78.134,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.189,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.249,00:00:00:00:00:00,1
