Timestamp,Protocol,Source IP,Destination IP,Source Port,Destination Port,Cipher Suite
2024-11-08 16:52:06,TLS,N/A,N/A,55695,443,N/A
2024-11-08 16:52:06,TCP,N/A,N/A,80,55693,1,412,73728
2024-11-08 16:52:06,TLS,N/A,N/A,443,55694,N/A
2024-11-08 16:52:06,DATA,N/A
2024-11-08 16:52:06,TCP,N/A,N/A,55694,443,757,2660,1573632
2024-11-08 16:52:06,DATA,N/A
2024-11-08 16:52:06,TCP,N/A,N/A,55694,443,757,3742,1572608
2024-11-08 16:52:06,TCP,N/A,N/A,55693,80,412,130,1573632
2024-11-08 16:52:06,TCP,N/A,N/A,443,55695,220,720,73728
2024-11-08 16:52:06,TLS,N/A,N/A,443,55695,N/A
2024-11-08 16:52:06,TCP,N/A,N/A,55695,443,720,1287,1573632
2024-11-08 16:52:06,TCP,N/A,N/A,80,55693,130,412,73728
2024-11-08 16:52:06,TCP,N/A,N/A,55693,80,412,292,1573376
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,292,469,73728
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,469,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,510,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,562,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,608,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,648,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,799,869,1572864
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,872,869,1572864
2024-11-08 16:52:07,TLS,162.159.133.234,172.16.0.2,443,55545,N/A
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,869,648,73728
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,869,872,73728
2024-11-08 16:52:07,TCP,172.16.0.2,162.159.133.234,55545,443,55,1874,6146
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,869,913,73728
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,869,913,73728
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,913,937,1572864
2024-11-08 16:52:07,TLS,162.159.133.234,172.16.0.2,443,55545,N/A
2024-11-08 16:52:07,TCP,N/A,N/A,80,55693,937,913,73728
2024-11-08 16:52:07,TCP,172.16.0.2,162.159.133.234,55545,443,55,1937,6146
2024-11-08 16:52:07,TCP,N/A,N/A,55693,80,913,1856,1573632
2024-11-08 16:52:07,TLS,162.159.133.234,172.16.0.2,443,55545,N/A
2024-11-08 16:52:07,TCP,172.16.0.2,162.159.133.234,55545,443,55,1998,6146
2024-11-08 16:52:07,DNS,0xec39,ssl.gstatic.com,1,0
2024-11-08 16:52:07,DNS,0x422d,ssl.gstatic.com,28,0
2024-11-08 16:52:07,DNS,0x063b,ssl.gstatic.com,1,0
2024-11-08 16:52:07,DNS,0x90a7,ssl.gstatic.com,1,0
2024-11-08 16:52:07,DNS,0x42f1,ssl.gstatic.com,28,0
2024-11-08 16:52:07,DNS,0x1b9c,ssl.gstatic.com,1,0
2024-11-08 16:52:07,Unknown
2024-11-08 16:52:07,DNS,0xec39,ssl.gstatic.com,1,1
2024-11-08 16:52:07,DNS,0x422d,ssl.gstatic.com,28,1
2024-11-08 16:52:07,DNS,0x1b9c,ssl.gstatic.com,1,1
2024-11-08 16:52:07,DNS,0x42f1,ssl.gstatic.com,28,1
2024-11-08 16:52:07,DNS,0x063b,ssl.gstatic.com,1,1
2024-11-08 16:52:07,DNS,0x90a7,ssl.gstatic.com,1,1
2024-11-08 16:52:08,TLS,162.159.133.234,172.16.0.2,443,55545,N/A
2024-11-08 16:52:08,TCP,172.16.0.2,162.159.133.234,55545,443,55,2084,6145
2024-11-08 16:52:08,TLS,162.159.133.234,172.16.0.2,443,55545,N/A
2024-11-08 16:52:08,TCP,172.16.0.2,162.159.133.234,55545,443,55,2154,6145
2024-11-08 16:52:08,Unknown
2024-11-08 16:52:09,DNS,0x2dd2,api.teleparty.com,1,0
2024-11-08 16:52:09,DNS,0xb946,api.teleparty.com,28,0
2024-11-08 16:52:09,DNS,0xe895,api.teleparty.com,1,0
2024-11-08 16:52:09,DNS,0xd72f,api.teleparty.com,1,0
